"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
216600;-5,38;6,60;2,56;8,88861
216610;-6,05;6,52;2,79;9,32171
216620;-6,79;6,98;2,72;10,11198
216630;-7,17;7,21;2,80;10,54205
216640;-7,17;7,81;3,18;11,07015
216650;-6,87;8,72;3,49;11,63992
216660;-6,80;9,79;3,42;12,39825
216670;-7,18;10,47;3,35;13,12727
216680;-6,96;11,08;3,35;13,50153
216690;-6,74;11,91;3,58;14,14337
216700;-6,66;12,29;3,66;14,44913
216710;-6,67;12,52;3,81;14,68268
216720;-6,36;11,53;3,80;13,70698
216730;-5,69;9,25;3,18;11,31644
216740;-5,46;8,72;2,57;10,60791
216750;-5,61;10,16;2,81;11,94655
216760;-5,69;11,23;3,42;13,04259
216770;-5,84;11,91;3,87;13,81943
216780;-6,22;11,99;4,10;14,11062
216790;-6,74;11,23;4,25;13,76393
216800;-7,03;10,24;3,87;13,00958
216810;-6,95;9,79;3,42;12,48035
216820;-6,65;9,33;2,96;11,83599
216830;-6,35;9,03;2,51;11,31976
216840;-6,20;8,65;2,66;10,96856
216850;-6,05;8,19;2,88;10,58363
216860;-5,83;7,96;2,95;10,29987
216870;-5,31;7,66;3,09;9,81852
216880;-4,79;7,43;3,08;9,36252
216890;-4,56;7,05;3,08;8,94696
216900;-4,34;6,30;2,77;8,13073
216910;-4,03;5,46;1,94;7,06111
216920;-3,96;5,23;1,56;6,74508
216930;-3,59;5,16;1,49;6,4552
216940;-2,99;5,16;1,18;6,07811
216950;-2,47;5,39;0,65;5,96074
216960;-2,47;6,22;0,66;6,72632
216970;-2,78;7,05;1,19;7,6732
216980;-2,93;7,59;2,10;8,3954
216990;-2,78;7,28;2,17;8,08886
217000;-2,33;6,83;1,64;7,39529
217010;-2,18;6,22;0,88;6,64827
217020;-2,62;5,84;-0,02;6,40121
217030;-2,69;5,31;-0,25;5,95845
217040;-2,54;4,93;-0,47;5,56744
217050;-3,07;5,99;-0,84;6,7836
217060;-3,52;6,83;-0,08;7,67963
217070;-2,48;6,52;0,74;7,01547
217080;-2,10;6,75;0,81;7,11739
217090;-2,55;7,51;0,89;7,98125
217100;-3,00;7,59;1,05;8,22365
217110;-3,37;7,21;1,35;8,06874
217120;-3,97;7,05;1,35;8,20398
217130;-4,64;7,43;1,58;8,90283
217140;-5,31;7,74;2,34;9,66983
217150;-6,05;7,96;3,25;10,51672
217160;-7,02;8,04;3,86;11,3486
217170;-7,77;8,19;4,39;12,11027
217180;-8,14;8,27;4,69;12,51304
217190;-8,07;8,95;4,40;12,82534
217200;-8,29;9,71;4,25;13,45709
217210;-8,15;10,47;4,11;13,88538
217220;-7,78;11,23;3,88;14,1977
217230;-7,41;11,83;3,81;14,47065
217240;-7,04;12,06;3,96;14,51367
217250;-6,59;11,23;3,87;13,57963
217260;-5,91;8,95;3,18;11,18566
217270;-5,83;8,95;2,73;11,02686
217280;-5,99;10,54;3,27;12,55756
217290;-5,84;11,53;3,87;13,4929
217300;-5,99;11,83;4,10;13,88271
217310;-6,29;11,53;4,25;13,80386
217320;-6,73;10,70;4,25;13,33242
217330;-7,10;9,71;4,17;12,73032
217340;-7,25;9,18;3,79;12,29394
217350;-7,02;8,88;3,26;11,7786
